"prob";"ind";"l_rate";"temperature";"correct";"sampling";"n_flowers"
0.3;6;0.5;0.0125;0.693266832917706;0.306733167082294;12
0.3;6;0.5;0.025;0.740648379052369;0.259351620947631;12
0.3;6;0.5;0.05;0.471321695760599;0.528678304239401;12
0.3;6;0.5;0.1;0.341645885286783;0.658354114713217;12
0.3;7;0.05;0.0125;1;0;1
0.3;7;0.05;0.025;1;0;1
0.3;7;0.05;0.05;0.982543640897756;0.0174563591022444;7
0.3;7;0.05;0.1;0.571072319201995;0.428927680798005;12
0.3;7;0.1;0.0125;1;0;1
0.3;7;0.1;0.025;0.985037406483791;0.0149625935162094;8
0.3;7;0.1;0.05;0.780548628428928;0.219451371571072;12
0.3;7;0.1;0.1;0.718204488778055;0.281795511221945;12
0.3;7;0.2;0.0125;0.955112219451372;0.0448877805486284;9
0.3;7;0.2;0.025;0.920199501246883;0.0798004987531172;12
0.3;7;0.2;0.05;0.86284289276808;0.13715710723192;12
0.3;7;0.2;0.1;0.566084788029925;0.433915211970075;12
0.3;7;0.3;0.0125;0.972568578553616;0.027431421446384;8
0.3;7;0.3;0.025;0.890274314214464;0.109725685785536;12
0.3;7;0.3;0.05;0.643391521197007;0.356608478802993;12
0.3;7;0.3;0.1;0.376558603491272;0.623441396508728;12
0.3;7;0.4;0.0125;0.71571072319202;0.28428927680798;12
0.3;7;0.4;0.025;0.688279301745636;0.311720698254364;12
0.3;7;0.4;0.05;0.628428927680798;0.371571072319202;12
0.3;7;0.4;0.1;0.399002493765586;0.600997506234414;12
0.3;7;0.5;0.0125;0.735660847880299;0.264339152119701;12
0.3;7;0.5;0.025;0.41645885286783;0.58354114713217;12
0.3;7;0.5;0.05;0.453865336658354;0.546134663341646;12
0.3;7;0.5;0.1;0.344139650872818;0.655860349127182;12
0.3;8;0.05;0.0125;1;0;1
0.3;8;0.05;0.025;1;0;1
0.3;8;0.05;0.05;0.922693266832918;0.0773067331670823;11
0.3;8;0.05;0.1;0.688279301745636;0.311720698254364;12
0.3;8;0.1;0.0125;1;0;1
0.3;8;0.1;0.025;0.997506234413965;0.00249376558603487;2
0.3;8;0.1;0.05;0.965087281795511;0.0349127182044888;12
0.3;8;0.1;0.1;0.698254364089776;0.301745635910224;12
0.3;8;0.2;0.0125;1;0;1
